t_video_s,LinPower_true,video,LinPower_fit_mse,LinPower_fit_anchor
1775.2,809000.0,89.99779615205428,763122.7423337698,756781.3699057188
1775.3,809000.0,89.75892327848177,759055.7828553722,753020.266244127
1775.4,809000.0,89.89798622349349,761423.4161234403,755209.8415770354
1775.5,804000.0,89.85613293231329,760710.837768595,754550.8527000092
1775.6,804000.0,90.05388407653261,764077.6741879787,757664.4860794877
1775.7,804000.0,89.99911933353484,763145.270322752,756802.2036765737
1775.8,804000.0,90.21951992704653,766897.7277258097,760272.4574013955
1775.9,804000.0,90.17031782966274,766060.0313674104,759497.7600242486
1776.0,804000.0,90.04202509870979,763875.7677029963,757477.7639781244
1776.1,804000.0,90.11017610055877,765036.0809641331,758550.815843587
1776.2,804000.0,90.11622225718989,765139.0205472303,758646.0138520664
1776.3,804000.0,90.08148622319183,764547.6179296055,758099.0876870926
1776.4,804000.0,89.98528601689608,762909.7494895144,756584.3951950837
1776.5,804000.0,89.8065520797544,759866.6928673943,753770.1917429271
1776.6,804000.0,90.0599471960877,764180.9025754237,757759.9511727749
1776.7,804000.0,90.15186183779728,765745.8066087435,759207.166548542
1776.8,804000.0,90.20781448432095,766698.4352715027,760088.1527424476
1776.9,804000.0,89.93987846002885,762136.657547218,755869.4436568739
1777.0,808000.0,90.17181448251822,766085.5128146147,759521.3251384061
1777.1,808000.0,90.23697538117167,767194.9177061631,760547.297199833
1777.2,808000.0,90.10178191312446,764893.164693906,758418.6475960035
1777.3,808000.0,90.0796292096729,764516.0011176195,758069.8486184566
1777.4,808000.0,89.97202524652678,762683.9766131819,756375.6015750901
1777.5,795000.0,90.00133626337238,763183.0149342723,756837.1097033853
1777.6,795000.0,89.91531887413954,761718.5152980618,755482.7478088525
1777.7,795000.0,89.80619594678731,759860.6294817766,753764.5843544174
1777.8,795000.0,89.61630789170174,756627.6670532054,750774.7569680184
1777.9,785000.0,89.4777676874418,754268.9337720776,748593.4122982495
1778.0,785000.0,89.42564090038395,753381.4427500425,747772.6650667277
1778.1,785000.0,89.45564471407266,753892.2763689647,748245.0814271064
1778.2,785000.0,89.51319746460142,754872.1477991953,749151.2615952899
1778.3,785000.0,89.32656355222848,751694.5891774744,746212.6713706865
1778.4,772000.0,89.36068004655847,752275.4437463083,746749.8427532138
1778.5,772000.0,89.34810212423838,752061.2967833937,746551.80071945
1778.6,772000.0,89.33785912501304,751886.9033407073,746390.5225411623
1778.7,772000.0,89.19945873125042,749530.5504203911,744211.3792170947
1778.8,766000.0,88.90756500281564,744560.877858629,739615.4510382572
1778.9,766000.0,88.7644874829562,742124.8939528994,737362.6653795645
1779.0,766000.0,88.93419966191306,745014.3495218197,740034.8193506082
1779.1,766000.0,88.96353880734368,745513.866749593,740496.770369394
1779.2,766000.0,89.00362423369674,746196.346104465,741127.9238426962
1779.3,766000.0,88.95867956857026,745431.1351824133,740420.2606323529
1779.4,766000.0,88.98546730416754,745887.2130683735,740842.039166407
1779.5,766000.0,88.81628411391597,743006.7638616941,738178.2142338457
1779.6,766000.0,88.82652510229164,743181.1230684123,738339.4607508823
1779.7,766000.0,88.55045181438466,738480.803361977,733992.6287373279
1779.8,766000.0,88.6417258934971,740034.801418042,735429.7583202063
1779.9,766000.0,88.54559383415892,738398.0932223557,733916.1388163851
1780.0,766000.0,88.52174845364894,737992.1107646965,733540.6882823547
1780.1,766000.0,88.51902331371252,737945.7135596534,733497.7803805913
1780.2,764000.0,88.60036935612277,739330.6806061945,734778.5909363881
1780.3,764000.0,88.50718453158822,737744.1509190195,733311.376264751
1780.4,764000.0,88.45443337185068,736846.0295631597,732480.7981539976
1780.5,764000.0,88.31376894237854,734451.1300245083,730266.0071112516
1780.6,764000.0,88.44019329797355,736603.5834345494,732256.5851941935
1780.7,764000.0,88.39781903599561,735882.135227334,731589.3935223266
1780.8,752000.0,88.26549224898716,733629.1892455602,729505.8804147022
1780.9,752000.0,88.15166629040408,731691.2313928171,727713.6667438557
1781.0,752000.0,88.3437022809595,734960.7637608186,730737.3138262283
1781.1,749000.0,88.29609695361157,734150.2534069875,729987.7579293121
1781.2,749000.0,88.11195802648264,731015.1734632968,727088.4517724076
1781.3,749000.0,88.14349803496316,731552.1617555218,727585.0558430522
1781.4,749000.0,88.06642870342355,730240.0083757299,726371.582999883
1781.5,749000.0,88.02876168770375,729598.7039684376,725778.5079109194
1781.6,749000.0,88.04045735765283,729797.8300351368,725962.6586954449
1781.7,749000.0,88.09508074967809,730727.827312002,726822.7154975515
1781.8,749000.0,88.04115450280223,729809.6993655919,725973.6353925259
1781.9,749000.0,87.99540671898106,729030.8148474605,725253.3269093307
1782.0,749000.0,88.16787525830335,731967.1991686767,727968.8803543625
1782.1,749000.0,88.1845100918624,732250.4175726869,728230.7993092998
1782.2,749000.0,88.17879921019889,732153.1862547726,728140.8802757387
1782.3,749000.0,88.0770785406117,730421.3284881727,726539.2669275079
1782.4,749000.0,88.14899450097784,731645.7425134445,727671.5988571018
1782.5,749000.0,88.06765278427474,730260.8491147624,726390.8564104743
1782.6,749000.0,88.07193668791273,730333.7852428562,726458.3073747372
1782.7,749000.0,88.00862660853382,729255.8917024247,725461.4768522652
1782.8,749000.0,88.15188221462454,731694.9076371803,727717.0665161449
1782.9,749000.0,87.99999314553736,729108.9016166953,725325.541160604
1783.0,749000.0,88.07435621217,730374.9791505788,726496.4032933204
1783.1,749000.0,87.87111230433182,726914.6250088676,723296.2851947937
1783.2,754000.0,87.9431550290055,728141.197275443,724430.6130550855
1783.3,754000.0,87.93567539443798,728013.8518374937,724312.8446348438
1783.4,754000.0,87.9726481599486,728643.3362024915,724894.9886081691
1783.5,754000.0,87.94213049512592,728123.7539479099,724414.4815535538
1783.6,754000.0,88.13560535747506,731417.7840045444,727460.7839751074
1783.7,759000.0,88.11776269491405,731114.001559359,727179.847498365
1783.8,759000.0,88.11931015679211,731140.3480618242,727204.212611275
1783.9,759000.0,88.0522052831905,729997.8457857845,726147.6322552094
1784.0,759000.0,88.16105984317494,731851.1624804535,727861.5702089644
1784.1,759000.0,88.18218485672723,732210.8289960057,728194.1879927858
1784.2,759000.0,88.1144550766834,731057.6872985018,727127.768353285
1784.3,753000.0,87.99740760031149,729064.8810985598,725284.8312069336
1784.4,753000.0,88.00344431299952,729167.6598926429,725379.8805185417
1784.5,753000.0,87.9449445611001,728171.6651741425,724458.7896144951
1784.6,753000.0,88.04356212519939,729850.6906367315,726011.543913817
1784.7,753000.0,88.03678608281764,729735.3242940477,725904.8537006006
1784.8,747000.0,88.17473242786093,732083.9467520674,728076.8479320346
1784.9,747000.0,88.15145547202722,731687.6420786218,727710.3473641486
1785.0,747000.0,88.11843539218076,731125.4546493813,727190.4392583882
1785.1,747000.0,88.08145891370975,730495.9070689201,726608.2368237202
1785.2,745000.0,88.11640752205697,731090.9288972626,727158.5100165547
1785.3,745000.0,88.03637787877389,729728.374365912,725898.4264420313
1785.4,745000.0,88.08556551262865,730565.8244737193,726672.89608787
1785.5,745000.0,88.02607066295033,729552.8875956372,725736.1371598912
1785.6,745000.0,88.0700491274155,730301.6483495354,726428.5873374997
1785.7,745000.0,88.0665588081,730242.223488895,726373.6315253922
1785.8,745000.0,88.00440017642987,729183.9340629997,725394.9307893997
1785.9,745000.0,87.92629662134284,727854.1723830434,724165.1738788395
1786.0,740000.0,88.09599208400734,730743.3433466728,726837.0646483421
1786.1,740000.0,88.13678848492009,731437.9274863251,727479.4125657005
1786.2,740000.0,88.09330682649058,730697.6251646692,726794.7847036689
1786.3,740000.0,88.01698883063285,729398.2637429058,725593.1417989179
1786.4,742000.0,87.90024777531076,727410.674552222,723755.0293164775
1786.5,742000.0,88.003487433551,729168.3940468938,725380.5594606989
1786.6,742000.0,88.10581232071218,730910.5389940881,726991.6863417805
1786.7,740000.0,88.0489024891143,729941.6136591618,726095.6290674563
1786.8,740000.0,88.06419484357959,730201.9755203037,726336.4104065576
1786.9,740000.0,87.9308240672897,727931.2549706607,724236.4594680055
1787.0,740000.0,87.95941920975305,728418.1050844395,724686.6960035071
1787.1,734000.0,87.98627166553325,728875.2848718311,725109.4935704607
1787.2,734000.0,88.0424384958926,729831.5601478186,725993.8521339309
1787.3,734000.0,87.97849664834929,728742.9103608283,724987.0742887643
1787.4,734000.0,87.98147678840327,728793.6491017251,725033.9972210396
1787.5,734000.0,88.03299377680831,729670.7579218221,725845.1430444501
1787.6,734000.0,88.05231305350792,729999.6806425739,726149.3291215356
1787.7,734000.0,87.96513626414814,728515.4414969541,724776.7122280258
1787.8,742000.0,87.96809059677778,728565.7408503748,724823.2288169742
1787.9,742000.0,87.99591251418755,729039.4263259361,725261.2907612938
1788.0,742000.0,88.05062308105096,729970.907808726,726122.7201495718
1788.1,742000.0,88.05347096420871,730019.3947935754,726167.5606691847
1788.2,751000.0,87.91971767177515,727742.1616682976,724061.5869334554
1788.3,751000.0,87.88351906150777,727125.857778576,723491.632197344
1788.4,751000.0,88.13650485475914,731433.0985061477,727474.9467491307
1788.5,760000.0,88.15462051506262,731741.5289079626,727760.1816327765
